s	label	match	strunz	notes	elements	crystal	url	ima
gcmin:mozartite	Mozartite	<https://www.mindat.org/1:1:2799:7>	09.AG.60	Basso R, Lucchetti G, Zefiro L, Palenzona A (1993) Mozartite, CaMn(OH)SiO_4_, a new mineral species from the Cerchiara Mine, Northern Apennines, Italy, The Canadian Mineralogist 31, 331-336	Ca | Mn | Si | O | H	orthorhombic	http://www.mindat.org/min-2799.html	IMA1991-016
gcmin:mozgovaite	Mozgovaite	<https://www.mindat.org/1:1:7066:5>	02.JA.05h	Vurro F, Garavelli A, Garbarino C, Moelo Y, Borodaev Y S (1999) Rare sulfosalts from Vulcano, Aeolian islands, Italy. II. Mozgovaite, PbBi4(S,Se)7, a new mineral species, The Canadian Mineralogist 37, 1499-1506 Jambor J L, Grew E S, Roberts A C (2000) New mineral names, American Mineralogist 85, 1561-1565	Pb | Bi | S | Se	orthorhombic	http://www.mindat.org/min-7066.html	IMA1998-060
gcmin:moeloite	Moëloite	<https://www.mindat.org/1:1:27689:4>	02.HC.25	Orlandi P, Meerschaut A, Palvadeau P, Merlino S (2002) Lead-antimony sulfosalts from Tuscany (Italy). V. Definition and crystal structure of moeloite, Pb_6_Sb_6_S_14_(S_3_), a new mineral from the Ceragiola marble quarry, European Journal of Mineralogy 14, 599-606	Pb | Sb | S	orthorhombic	http://www.mindat.org/min-27689.html	IMA1998-045
gcmin:mpororoite	Mpororoite	<https://www.mindat.org/1:1:2800:0>	07.GB.35	von Knorring O, Sahama T G, Lehtinen M (1972) Mpororoite, a new secondary tungsten mineral from Uganda, Bulletin of the Geological Society of Finland 44, 107-110 Fleischer M (1973) New mineral names, American Mineralogist 58, 1111-1115	Al | O | W | H	monoclinic, triclinic	http://www.mindat.org/min-2800.html	IMA1970-037
gcmin:mroseite	Mroseite	<https://www.mindat.org/1:1:2802:4>	04.JL.15	Mandarino J A, Mitchell R S, Hancock R G V (1975) Mroseite, a calcium tellurite-carbonate from Moctezuma, Sonora, Mexico, The Canadian Mineralogist 13, 286-288 Fleischer M, Chao G Y, Mandarino J A (1976) New mineral names, American Mineralogist 61, 338-341	Ca | Te | O | C	orthorhombic	http://www.mindat.org/min-2802.html	IMA1974-032
gcmin:mrazekite	Mrázekite	<https://www.mindat.org/1:1:2801:7>	08.DJ.40	Rídkosil T, Srein V, Fábry J, Hybler J, Maximov B A (1992) Mrázekite, Bi_2_Cu_3_(OH)_2_O_2_(PO_4_)_2_·2H_2_O, The Canadian Mineralogist 30, 215-224	Bi | Cu | P | O | H	monoclinic	http://www.mindat.org/min-2801.html	IMA1990-045
gcmin:muirite	Muirite	<https://www.mindat.org/1:1:2804:8>	09.CN.05	Alfors J T, Stinson M C, Matthews R A, Pabst A (1965) Seven new barium minerals from eastern Fresno County, California, American Mineralogist 50, 314-340	Ba | Ca | Mn | Ti | Si | O | H | Cl | F	tetragonal	http://www.mindat.org/min-2804.html	IMA1964-013
gcmin:mukhinite	Mukhinite	<https://www.mindat.org/1:1:2805:5>	09.BG.05a	Shepel A V, Karpenko M V (1969) Mukhinite, a new vanadium species of epidote, Doklady Akademii Nauk SSSR 185, 1342-1345 Fleischer M (1970) New mineral names, American Mineralogist 55, 317-323	Ca | Al | V | Si | O | H	monoclinic	http://www.mindat.org/min-2805.html	IMA1968-035
gcmin:mullite	Mullite	<https://www.mindat.org/1:1:2806:2>	09.AF.20	Bowen N L, Greig J W, Zies E G (1924) Mullite, a silicate of alumina, Journal of the Washington Academy of Sciences 14, 183-191	Al | Si | O	orthorhombic	http://www.mindat.org/min-2806.html	
gcmin:mummeite	Mummeite	<https://www.mindat.org/1:1:2807:9>	02.JA.05f	Karup-Møller S, Makovicky E (1992) Mummeite - A new member of the pavonite homologous series from Alaska mine, Colorado, Neues Jahrbuch für Mineralogie, Monatshefte 1992, 555-576	Cu | Ag | Pb | Bi | S	monoclinic	http://www.mindat.org/min-2807.html	IMA1986-025
gcmin:munakataite	Munakataite	<https://www.mindat.org/1:1:31727:0>	07.BC.65	Matsubara S, Mouri T, Miyawaki R, Yokoyama K, Nakahara M (2008) Munakataite, a new mineral from the Kato mine, Fukuoka, Japan, Journal of Mineralogical and Petrological Sciences 103, 327-332	Pb | Cu | Se | O | S | H	monoclinic	http://www.mindat.org/min-31727.html	IMA2007-012
gcmin:mundite	Mundite	<https://www.mindat.org/1:1:2808:6>	08.EC.30	Deliens M, Piret P (1981) Les phosphates d'uranyle et d'aluminium de Kobokobo. V. La mundite, nouveau minéral, Bulletin de Minéralogie 104, 669-671 Fleischer M, Cabri L J, Chao G Y, Mandarino J A, Pabst A (1982) New mineral names, American Mineralogist 67, 621-624	Al | U | O | P | H	orthorhombic	http://www.mindat.org/min-2808.html	IMA1980-075
gcmin:mundrabillaite	Mundrabillaite	<https://www.mindat.org/1:1:2809:3>	08.CJ.10	Bridge P J, Clarke R M (1983) Mundrabillaite - a new cave mineral from Western Australia, Mineralogical Magazine 47, 80-81	N | H | Ca | P | O	monoclinic	http://www.mindat.org/min-2809.html	IMA1978-058
gcmin:munirite	Munirite	<https://www.mindat.org/1:1:2810:9>	04.HD.15	Butt K A, Mahmood K (1983) Munirite, naturally occuring sodium vanadium oxide hydrate, a new mineral, Mineralogical Magazine 47, 391-392 Dunn P J, Fleischer M, Francis C A, Langley R H, Kissin S A, Shigley J E, Vanko D A, Zilczer J A (1984) New mineral names, American Mineralogist 69, 810-815	Na | V | O | H	monoclinic	http://www.mindat.org/min-2810.html	IMA1982-038
gcmin:muonionalustaite	Muonionalustaite	<https://www.mindat.org/1:1:55029:1>	03.DA				https://www.mindat.org/min-55029.html	
gcmin:murakamiite	Murakamiite	<https://www.mindat.org/1:1:50465:4>	09.DG.05	Imaoka T, Nagashima M, Kano T, Kimura J-I, Chang Q, Fukuda C (2017) Murakamiite, LiCa_2_Si_3_O_8_(OH), a Li-analogue of pectolite, from the Iwagi Islet, southwest Japan. European Journal of Mineralogy 29, 1045-1053	Ca | Li | Si | O | H	triclinic	https://www.mindat.org/min-50465.html	IMA2016-066
gcmin:murashkoite	Murashkoite	<https://www.mindat.org/1:1:43591:0>	01.BD	Britvin S N, Vapnik Y, Polekhovsky Y S, Krivovichev S V, Krzhizhanovskaya M G, Gorelova L A, Vereshchagin O S, Shilovskikh V V, Zaitsev A N (2018) Murashkoite, FeP, a new terrestrial phosphide from pyrometamorphic rocks of the Hatrurim Formation, South Levant. Mineralogy and Petrology First Online, 1-12	Fe | P	orthorhombic	https://www.mindat.org/min-43591.html	IMA2012-071
gcmin:murataite-y	Murataite-(Y)	<https://www.mindat.org/1:1:2811:6>	04.DF.15	Adams J W, Botinelly T, Sharp W N, Robinson K (1974) Murataite, a new complex oxide from El Paso County, Colorado, American Mineralogist 59, 172-176	Y | Na | Zn | Fe | Ti | Nb | O | F | H	cubic	http://www.mindat.org/min-2811.html	IMA1972-007
gcmin:murdochite	Murdochite	<https://www.mindat.org/1:1:2812:3>	03.DB.45	Fahey J J (1955) Murdochite, a new copper lead oxide mineral, American Mineralogist 40, 905-906 Chemical formula revised from Cu_6_PbO_8_ to Cu_12_Pb_2_O_15_Cl_2_: Dubler E, Vedani A, Oswald H R (1983) New structure determination of murdochite, Cu_6_PbO_8_. Acta Crystallographica C39, 1143-1146	Cu | Pb | O | Cl	cubic	http://www.mindat.org/min-2812.html	
gcmin:murmanite	Murmanite	<https://www.mindat.org/1:1:2813:0>	09.BE.27	Gutkova N (1930) Sur un nouveau titano-silicate - la mourmanite de Lujawrurt. Doklady Akademii Nauk SSSR 27, 731-736 Chemical formula revised: Sokolova E (2006) From structure topology to chemical composition. I. Structural hierarchy and stereochemistry in titanium disilicate minerals, The Canadian Mineralogist 44, 1273-1330	Na | Ti | Si | O | H	triclinic	http://www.mindat.org/min-2813.html	
<https://w3id.org/geochem/1.0/mingroup/35035>	Murmanite Group	<https://www.mindat.org/1:1:35035:4>					https://mindat.org/min-35035.html	
gcmin:murunskite	Murunskite	<https://www.mindat.org/1:1:2814:7>	02.BD.30	Dobrovolskaya M G, Tsepin A I, Evstigneeva T L, Vyal'sov L N, Zaozerina A O (1981) Kurunskite, K2Cu3FeS4 a new sulfide of potassium, copper, and iron, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 110, issue 4, 468-473 Fleischer M, Cabri L J, Chao G Y, Mandarino J A, Pabst A (1982) New mineral names, American Mineralogist 67, 621-624	K | Cu | Fe | S	tetragonal	http://www.mindat.org/min-2814.html	IMA1980-064
gcmin:muscovite	Muscovite	<https://www.mindat.org/1:1:2815:4>	09.EC.15	Preciously known under related names like muscovy glass, but the current name was introduced in this publication: Dana J D (1850) Mica Family: Muscovite, in A System of Mineralogy, Third Edition, George P Putnam (New York) 356-358	K | Al | Si | O | H	monoclinic, hexagonal, triclinic	http://www.mindat.org/min-2815.html	
gcmin:museumite	Museumite	<https://www.mindat.org/1:1:26575:5>	02.HB.20c	Bindi L, Cipriani C (2004) Museumite, Pb5AuSbTe2S12, a new mineral from the gold-telluride deposit of Sacarîmb, Metaliferi Mountains, western Romania, European Journal of Mineralogy 16, 835-838 Piilonen P C, Grew E S, Ercit T S (2005) New mineral names, American Mineralogist 90, 1227-1233 Chemical formula revised: Moëlo Y, Makovicky E, Mozgova N N, Jambor J L, Cook N, Pring A, Paar W, Nickel E H, Graeser S, Karup-Møller S, Balic-Zunic T, Mumme W G, Vurro F, Topa D, Bindi L, Bente K, Shimizu M (2008) Sulfosalt systematics: a review. Report of the sulfosalt sub-committee of the IMA Commission on Ore Mineralogy, European Journal of Mineralogy 20, 7-46	Pb | Sb | S | Te | Au	monoclinic	http://www.mindat.org/min-26575.html	IMA2003-039
gcmin:mushistonite	Mushistonite	<https://www.mindat.org/1:1:2817:8>	04.FC.10	Marshukova N K, Pavlovskii A B, Sidorenko G A (1984) Mushistonite, (Cu,Zn,Fe)Sn(OH)<sub>6</sub>, a new tin mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 113(5), 612-617	Cu | Sn | O | H	tetragonal, cubic	http://www.mindat.org/min-2817.html	IMA1982-068
gcmin:muskoxite	Muskoxite	<https://www.mindat.org/1:1:2818:5>	04.FL.05	Jambor J L (1969) Muckoxite, a new hydrous magnesium-ferric iron oxide from the Muskox Intrusion, Northwest Territories, Canada, American Mineralogist 54, 684-696	Mg | Fe | O | H		http://www.mindat.org/min-2818.html	IMA1967-043
gcmin:muthmannite	Muthmannite	<https://www.mindat.org/1:1:2819:2>	02.CB.85	Zambonini F (1911) Uber den Muthmannit, ein neues mineral, Zeitschrift für Kristallographie 49, 246-249	Au | Ag | Te	monoclinic	http://www.mindat.org/min-2819.html	
gcmin:mutinaite	Mutinaite	<https://www.mindat.org/1:1:7184:6>	09.GF.35	Galli E, Vezzalini G, Quartieri S, Alberti A, Franzini M (1997) Mutinaite, a new zeolite from Antarctica: the natural counterpart of ZSM-5, Zeolites 19, 318-322 Jambor J L, Pertsev N N, Roberts A C (1998) New mineral names, American Mineralogist 83, 907-911	Na | Ca | Al | Si | O | H	orthorhombic	http://www.mindat.org/min-7184.html	IMA1996-025
gcmin:mutnovskite	Mutnovskite	<https://www.mindat.org/1:1:27408:1>	02.GC.50	Zelenski M, Balic-Žunic T, Bindi L, Garavelli A, Makovicky E, Pinto D, Vurro F (2006) First occurrence of iodine in natural sulfosalts: The case of mutnovskite, Pb_2_AsS_3_(I,Cl,Br), a new mineral from the Mutnovsky volcano, Kamchatka Peninsula, Russian Federation, American Mineralogist 91, 21-28	Pb | As | S | I	orthorhombic	http://www.mindat.org/min-27408.html	IMA2004-032
gcmin:makinenite	Mäkinenite	<https://www.mindat.org/1:1:2732:4>	02.CC.20	Vuorelainen Y, Huhma A, Häkli A (1964) Sederholmite, wilkmanite, kullerudite, mäkinenite, and trüstedtite, five new nickel selenide minerals, Comptes Rendus de la Société Géologique de Finlande 36, 113-125	Ni | Se	hexagonal	http://www.mindat.org/min-2732.html	
gcmin:melonjosephite	Mélonjosephite	<https://www.mindat.org/1:1:2640:2>	08.BG.10	Fransolet A (1973) La mélonjosephite CaF2+Fe3+ (PO4)2(OH)2, une nouvelle espèce minérale, Bulletin de la Société Française de Minéralogie et de Cristallographie 96, 135-142 Fleischer M, Mandarino J A (1975) New mineral names, American Mineralogist 60, 945-947	Ca | Fe | P | O | H	orthorhombic	http://www.mindat.org/min-2640.html	IMA1973-012
gcmin:mesotype	Mésotype	<https://www.mindat.org/1:1:43745:9>					https://www.mindat.org/min-43745.html	
gcmin:mossbauerite	Mössbauerite	<https://www.mindat.org/1:1:43298:6>	04.FL.05	Génin J M R, Mills S J, Christy A G, Guérin O, Herbillion A J, Kuzmann E, Ona-Nguema G, Ruby C, Upadhyay C (2014) Mössbauerite, Fe^3+^_6_O_4_(OH)_8_[CO_3_]·3H_2_O, the fully oxidized 'green rust' mineral from Mont Saint-Michel Bay, France. Mineralogical Magazine 78, 447-465	Fe | O | H | C	hexagonal	https://www.mindat.org/min-43298.html	IMA2012-049
gcmin:muckeite	Mückeite	<https://www.mindat.org/1:1:2803:1>	02.GA.25	Schnorrer-Köhler G, Neumann U, Doering Th (1989) Mückeite, CuNiS3, a new mineral from the Grüne Au mine, Schutzbach/Siegerland, Neues Jahrbuch für Mineralogie, Monatshefte 1989, 193-200 Jambor J L, Vanko D A (1990) New mineral names, American Mineralogist 75, 706-713	Cu | Ni | Bi | S	orthorhombic	http://www.mindat.org/min-2803.html	IMA1988-018
gcmin:mullerite	Müllerite	<https://www.mindat.org/1:1:54026:7>	07.BC.47				https://www.mindat.org/min-54026.html	
gcmin:nabalamprophyllite	Nabalamprophyllite	<https://www.mindat.org/1:1:26672:7>	09.BE.25	Chukanov V Y, Moiseev M M, Pekov I V, Lazebnik K A, Rastsvetaeva R K, Zayakina N V, Ferraris G, Ivaldi G (2004) Nabalamprophyllite Ba(Na,Ba){Na<sub>3</sub>Ti[Ti<sub>2</sub>O<sub>2</sub>Si<sub>4</sub>O<sub>14</sub>](OH,F)<sub>2</sub>} - a new layer titanosilicate of the lamprophyllite group from Inagli and Kovdor alkaline-ultramafic massifs, Russia, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 133(1), 59-72	Ba | Na | Ti | Si | O | H	monoclinic, orthorhombic	http://www.mindat.org/min-26672.html	IMA2001-060
gcmin:nabaphite	Nabaphite	<https://www.mindat.org/1:1:2822:2>	08.CJ.15	Khomyakov A P, Korobitsyn M F, Men'shikov Y P, Polezhaeva L I (1982) Nabaphite, NaBaPO4·9H2O, a new mineral, Doklady Akademii Nauk SSSR 266, 707-710 Dunn P J, Fleischer M (1983) New mineral names, American Mineralogist 68, 642-645	Na | Ba | P | O | H	cubic	http://www.mindat.org/min-2822.html	IMA1981-058
gcmin:nabesite	Nabesite	<https://www.mindat.org/1:1:11439:0>	09.EA.65	Petersen O V, Giester G, Brandstätter F, Niedermayr G (2002) Nabesite, Na2BeSi4O10·4H2O, a new mineral species from the Ilímaussaq alkaline complex, South Greenland, The Canadian Mineralogist 40, 173-181 Jambor J L, Roberts A C (2003) New mineral names, American Mineralogist 88, 251-255	Na | Be | Si | O | H	orthorhombic	http://www.mindat.org/min-11439.html	IMA2000-024
gcmin:nabiasite	Nabiasite	<https://www.mindat.org/1:1:7185:3>	08.BF.20	Brugger J, Bonin M, Schenk K J, Meisser N, Berlepsch P, Ragu A (1999) Description and crystal structure of nabiasite, BaMn_9_[(V,As)O_4_]_6_(OH)_2_, a new mineral from the Central Pyrénées (France), European Journal of Mineralogy 11, 879-890	Ba | Mn | V | O | H	cubic	http://www.mindat.org/min-7185.html	IMA1997-050
gcmin:nabimusaite	Nabimusaite	<https://www.mindat.org/1:1:43580:4>	09.AH.35	Galuskin E V, Gfeller F, Armbruster T, Galuskina I O, Vapnik Y, Murashko M, Wlodyka R, Dzierzanowski P (2015) New minerals with a modular structure derived from hatrurite from the pyrometamorphic Hatrurim Complex. Part I. Nabimusaite, KCa_12_(SiO_4_)_4_(SO_4_)_2_O_2_F, from larnite rocks of Jabel Harmun, Palestinian Autonomy, Israel. Mineralogical Magazine 79, 1061-1072	K | Ca | Si | O | S | F	hexagonal	https://www.mindat.org/min-43580.html	IMA2012-057
gcmin:nabokoite	Nabokoite	<https://www.mindat.org/1:1:2823:9>	07.BC.20	Popova V I, Popov V A, Rudashevskiy N S, Glavatskikh S F, Polyakov V O, Bushmakin A F (1987) Nabokoite Cu7TeO4(SO4)5·KCl and atlasovite Cu6Fe3+Bi3+O4(SO4)5·KCl. New minerals of volcanic exhalations, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 116, issue 3, 358-367 Jambor J L, Bladh K W, Ercit T S, Grice J D, Grew E S (1988) New mineral names, American Mineralogist 73, 927-935	Cu | Te | O | S | K | Cl	tetragonal	http://www.mindat.org/min-2823.html	IMA1985-013a
gcmin:nacaphite	Nacaphite	<https://www.mindat.org/1:1:2824:6>	08.BO.05	Khomyakov A P, Kazakova M E, Pushcharovskii D Y (1980) Nacaphite, Na_2_CaPO_4_F, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 109(1), 50-52	Na | Ca | P | O | F	triclinic, hexagonal	http://www.mindat.org/min-2824.html	IMA1979-026
gcmin:nacareniobsite-ce	Nacareniobsite-(Ce)	<https://www.mindat.org/1:1:2825:3>	09.BE.20	Petersen O V, Rønsbo J G, Leonardsen E S (1989) Nacareniobsite-(Ce), a new mineral species from the Ilímaussaq alkaline complex, South Greenland, and its relation to mosandrite and the rinkite series, Neues Jahrbuch für Mineralogie, Monatshefte 1989, 84-96	Ca | Ce | Na | Nb | Si | O | F	monoclinic	http://www.mindat.org/min-2825.html	IMA1987-040
gcmin:nacrite	Nacrite	<https://www.mindat.org/1:1:2826:0>	09.ED.05	Brongniart A (1807) Nacrite, in Traité Élémentaire de Minéralogie, De L'imprimerie de Crapelet (Paris) 505-506	Al | Si | O | H	monoclinic	http://www.mindat.org/min-2826.html	
gcmin:nadorite	Nadorite	<https://www.mindat.org/1:1:2827:7>	03.DC.30	Flajolot T (1870) Note sur des combinaisons cristallisées d'oxyde de plomb et d'oxyde d' antimoine, d'oxyde de plomb el d'acide antimonique, de la province de Constantine (Algérie)., Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences 71, 237-239	Pb | Sb | O | Cl	orthorhombic	http://www.mindat.org/min-2827.html	
<https://w3id.org/geochem/1.0/mingroup/39495>	Nadorite Group	<https://www.mindat.org/1:1:39493:2>					https://mindat.org/min-39495.html	
gcmin:nafertisite	Nafertisite	<https://www.mindat.org/1:1:7186:0>	09.EH.30	Khomyakov A P, Ferraris G, Ivaldi G, Nechelyustov G N, Soboleva S V (1995) Nafertisite Na_3_(Fe^2+^, Fe^3+^)_6_[Ti_2_Si_12_O_34_](O,OH)_7_·2H_2_O, a new mineral with a new type of banded silicate radical, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 124(6), 101-107. Formula changed from Na_3_(Fe^2+^, Fe^3+^)_6_[Ti_2_Si_12_O_34_](O,OH)_7_·2H_2_O: Cámara F, Sokolova E, Abdu Y A, Hawthorne F C (2014) Nafertisite, Na_3_Fe^2+^_10_Ti_2_(Si_6_O_17_)_2_O_2_(OH)_6_F(H_2_O)_2_, from Mt. Kukisvumchorr, Khibiny alkaline massif, Kola peninsula, Russia: Refinement of the crystal structure and revision of the chemical formula. European Journal of Mineralogy 26, 689-700.	Na | Fe | Ti | Si | O | H | F	monoclinic	http://www.mindat.org/min-7186.html	IMA1994-007
gcmin:nagashimalite	Nagashimalite	<https://www.mindat.org/1:1:2828:4>	09.CE.20	Matsubara S, Kato A (1980) Nagashimalite, Ba_4_(V^3+^,Ti)_4_[(O,OH)_2_|Cl|Si_8_B_2_O_27_], a new mineral from the Mogurazawa mine, Gumma prefecture, Japan, Mineralogical Journal 10, 122-130	Ba | V | Ti | O | H | B | Si | Cl	orthorhombic	http://www.mindat.org/min-2828.html	IMA1977-045
gcmin:nagelschmidtite	Nagelschmidtite	<https://www.mindat.org/1:1:2829:1>	09.HA.60	Barrett R L, McCaughey W J (1942) The system CaO-SiO2-P2O5, American Mineralogist 27, 680-695	Ca | Si | O | P	hexagonal	http://www.mindat.org/min-2829.html	
gcmin:nagyagite	Nagyágite	<https://www.mindat.org/1:1:2830:7>	02.HB.20a	Haidinger W (1845) Zweite Klasse: Geogenide. XIV. Ordnung. Glanze. V. Eutomglanz. Nagyagit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 563-570 Chemical formula revised: Effenberger H, Paar W H, Topa D, Culetto F J, Giester G (1999) Toward the crystal structure of nagyagite, [Pb(Pb,Sb)S2][(Au,Te)], American Mineralogist 84, 669-676	Pb | Sb | S | Au | Te	monoclinic	http://www.mindat.org/min-2830.html	
gcmin:nahcolite	Nahcolite	<https://www.mindat.org/1:1:2831:4>	05.AA.15	Bannister F A (1929) The so-called ‘thermokalite' and the existence of sodium bicarbonate as a mineral, Mineralogical Magazine 22, 53-64 Schairer J F (1929) New mineral names, American Mineralogist 14, 387-388	Na | H | C | O	monoclinic	http://www.mindat.org/min-2831.html	
gcmin:nahpoite	Nahpoite	<https://www.mindat.org/1:1:2832:1>	08.AD.05	Coleman L C, Robertson B T (1981) Nahpoite Na2HPO4, a new mineral from the Big Fish River area, Yukon Territory, The Canadian Mineralogist 19, 373-376 Fleischer M, Chao G Y, Mandarino J A (1982) New mineral names, American Mineralogist 67, 854-860	Na | P | O | H	monoclinic	http://www.mindat.org/min-2832.html	IMA1981-002
gcmin:nakauriite	Nakauriite	<https://www.mindat.org/1:1:2948:9>	07.DG.30	Suzuki J, Ito M, Sugiura T (1976) A new copper sulfate-carbonate hydroxide hydrate mineral, (Mn,Ni,Cu)_8_(SO_4_)_4_(CO_3_)(OH)_6_·48H_2_O, from Nakauri, Aichi Prefecture, Japan, Journal of Mineralogy, Petrology and Economic Geology 71, 183-192	Cu | S | O | C | H	unknown, orthorhombic	http://www.mindat.org/min-2948.html	IMA1976-016
gcmin:naldrettite	Naldrettite	<https://www.mindat.org/1:1:27202:9>	02.AC.25d	Cabri L J, McDonald A M, Stanley C J, Rudashevsky N S, Poirier G, Durham B R, Mungall J E, Rudashevsky V N (2005) Naldrettite, Pd2Sb, a new intermetallic mineral from the Mesamax Northwest deposit, Ungava Region, Québec, Canada, Mineralogical Magazine 69, 89-97 Piilonen P C, Ercit T S (2005) New mineral names, American Mineralogist 90, 1466-1469	Pd | Sb	orthorhombic	http://www.mindat.org/min-27202.html	IMA2004-007
gcmin:nalipoite	Nalipoite	<https://www.mindat.org/1:1:2833:8>	08.AA.25	Chao G Y, Ercit T S (1991) Nalipoite, sodium dilithium phosphate, a new mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 29, 565-568 Jambor J L, Vanko D A (1992) New mineral names, American Mineralogist 77, 446-452	Na | Li | P | O	orthorhombic	http://www.mindat.org/min-2833.html	IMA1990-030
gcmin:nalivkinite	Nalivkinite	<https://www.mindat.org/1:1:31307:0>	09.DC.05	Uvarova Y A, Sokolova E, Hawthorne F C, Agakhanov A A, Pautov L A (2008) The crystal structure of nalivkinite, a new lithium member of the astrophyllite group, The Canadian Mineralogist 46, 651-659 Chemical composition revised according to: Cámara F, Sokolova E, Abdu Y, Hawthorne F C (2010) The crystal structures of niobophyllite, kupletskite-(Cs) and Sn-rich astrophyllite: Revisions to the crystal chemistry of the astrophyllite-group minerals, The Canadian Mineralogist 48, 1-16 Chemical formula revised from Li_2_NaFe^2+^_7_Ti_2_(Si_4_O_12_)_2_O_2_(OH)_4_F: Agakhanov A A, Pautov L A, Sokolova E, Abdu Y A, Karpenko V Y (2016) Two astrophyllite-supergroup minerals: Bulgakite, a new mineral from the Darai-Pioz Alkaline Massif, Tajikistan and revision of the crystal structure and chemical formula of nalivkinite. The Canadian Mineralogist 54, 33-48	Li | Na | Fe | Ti | Si | O | H | F	triclinic	http://www.mindat.org/min-31307.html	IMA2006-038
gcmin:namansilite	Namansilite	<https://www.mindat.org/1:1:2834:5>	09.DA.25	Kalinin V V, Marsii I M, Dikov Y P, Troneva N V, Trubkin N V (1992) Namansilite NaMn^3+^Si_2_O_6_: a new silicate, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 121(1), 89-94	Na | Mn | Si | O	monoclinic	http://www.mindat.org/min-2834.html	IMA1989-026
gcmin:nambulite	Nambulite	<https://www.mindat.org/1:1:2835:2>	09.DK.05	Yoshii M, Aoki Y, Maeda K (1972) Nambulite, a new lithium- and sodium-bearing manganese silicate from the Funakozawa mine, northeastern Japan, Mineralogical Journal 7, 29-44	Li | Mn | Si | O | H	triclinic	http://www.mindat.org/min-2835.html	IMA1971-032
gcmin:namibite	Namibite	<https://www.mindat.org/1:1:2836:9>	08.BB.50	von Knorring O, Sahama T G (1981) Namibite, a new copper-bismuth-vanadium mineral from Namibia, Schweizerische Mineralogische und Petrographische Mitteilungen 61, 7-12	Cu | Bi | O | V | H	triclinic	http://www.mindat.org/min-2836.html	IMA1981-024
gcmin:namuwite	Namuwite	<https://www.mindat.org/1:1:2837:6>	07.DD.50	Bevins R E, Turgoose S, Williams P A (1982) Namuwite, (Zn,Cu)_4_SO_4_(OH)_6_·4H_2_O, a new mineral from Wales, Mineralogical Magazine 46, 51-54	Zn | S | O | H	hexagonal	http://www.mindat.org/min-2837.html	IMA1981-020
<https://w3id.org/geochem/1.0/mingroup/470918>	Namuwite Group	<https://www.mindat.org/1:1:470918:9>					https://mindat.org/min-470918.html	
gcmin:nanlingite	Nanlingite	<https://www.mindat.org/1:1:2838:3>	04.JB.25	Gu X, Ding K, Xu Y (1976) Nanlingite - A new arsenite mineral from southern China, Geochimica 2, 107-112 Chemical formula revised: Fleischer M, Pabst A, Mandarino J A, Chao G Y (1977) New mineral names, American Mineralogist 62, 1057-1061 Chemical formula revised again: Yang Z, Giester G, Ding K, Tillmanns E (2011) Crystal structure of nanlingite - the first mineral with a [Fe(AsO3)6] configuration, European Journal of Mineralogy 23, 63-71	Na | Ca | Li | Mg | As | O | Fe | F	hexagonal	http://www.mindat.org/min-2838.html	
gcmin:nanpingite	Nanpingite	<https://www.mindat.org/1:1:2839:0>	09.EC.15	Yang Y, Ni Y, Wang L, Wang W, Zhang Y, Chen C (1988) Nanpingite - A new cesium mineral. Acta Petrologica et Mineralogica 7, 49-58	Cs | Al | Si | O | H	monoclinic	http://www.mindat.org/min-2839.html	IMA1987-006
gcmin:nantokite	Nantokite	<https://www.mindat.org/1:1:2840:6>	03.AA.05	Domeyko I (1867) Hidrosilicatos de alumina (caolinas), in Mineralojía de Chile, (Santiago) 49-52	Cu | Cl	cubic	http://www.mindat.org/min-2840.html	
gcmin:naquite	Naquite	<https://www.mindat.org/1:1:40148:1>	01.BB.15	Shi N, Bai W, Li G, Xiong M, Yang J, Ma Z, Rong H (2012) Naquite, FeSi, a new mineral species from Luobusha, Tibet, Western China. Acta Geologica Sinica 86, 533-538	Fe | Si	cubic	http://www.mindat.org/min-40148.html	IMA2010-010
gcmin:narsarsukite	Narsarsukite	<https://www.mindat.org/1:1:2841:3>	09.DJ.05	Flink G (1901) On the minerals from Narsarsuk on the Firth of Tunugdliarfik in Southern Greenland, Meddelelser om Grønland 24, 9-180	Na | Ti | Fe | Si | O | F	tetragonal	http://www.mindat.org/min-2841.html	
gcmin:nashite	Nashite	<https://www.mindat.org/1:1:42727:6>	04.HC.45	Kampf A R, Hughes J M, Marty J, Brown F H (2013) Nashite, Na_3_Ca_2_[(V^4+^V^5+^_9_)O_28_]·24H_2_O, a new mineral species from the Yellow Cat Mining District, Utah and the Slick Rock Mining District, Colorado: crystal structure and descriptive mineralogy, The Canadian Mineralogist 51, 27-37	Na | Ca | V | O | H	monoclinic	http://www.mindat.org/min-42727.html	IMA2011-105
